YEAR,MO,DY,HR,ALLSKY_SFC_UVA,RH2M,PRECTOTCORR,T2M,Rancha
2024,2,23,16,18.19,77,0.36,8.21,0
2024,2,23,17,6.24,83.81,0.34,7.05,0
2024,2,23,18,0.34,89.44,0.26,6.08,0
2024,2,23,19,0,91.44,0.2,5.55,0
2024,2,23,20,0,92.06,0.15,5.21,0
2024,2,23,21,0,92.25,0.14,5.01,0
2024,2,23,22,0,92.38,0.17,4.85,0
2024,2,23,23,0,93.56,0.19,4.69,0
2024,2,24,0,0,94.5,0.14,4.61,0
2024,2,24,1,0,95.19,0.09,4.51,0
2024,2,24,2,0,96.25,0.06,4.16,0
2024,2,24,3,0,96.94,0.03,4.12,0
2024,2,24,4,0,96.94,0.02,4.15,0
2024,2,24,5,0,97.94,0.02,4.08,0
2024,2,24,6,1.66,95.12,0.01,4.94,0
2024,2,24,7,5.4,87,0,6.6,0
2024,2,24,8,15.4,71.06,0.01,9.37,0
2024,2,24,9,23.07,53.25,0.01,12.64,0
2024,2,24,10,28.63,44.38,0.03,15,0
2024,2,24,11,34.99,42.25,0.07,15.95,0
2024,2,24,12,39.73,45.88,0.14,15.29,0
2024,2,24,13,35.22,51.19,0.19,14.22,0
2024,2,24,14,21.09,57.69,0.24,12.76,0
2024,2,24,15,17.72,65.19,0.29,11.11,0
2024,2,24,16,9.14,72.94,0.31,9.43,0
2024,2,24,17,3.2,81.62,0.32,7.76,0
2024,2,24,18,0.27,90.06,0.3,6.23,0
2024,2,24,19,0,92.12,0.26,5.74,0
2024,2,24,20,0,92.5,0.18,5.57,0
2024,2,24,21,0,92.88,0.11,5.5,0
2024,2,24,22,0,93.81,0.09,5.11,0
2024,2,24,23,0,94.94,0.08,4.84,0
2024,2,25,0,0,95.44,0.07,4.39,0
2024,2,25,1,0,94.75,0.08,4.19,0
2024,2,25,2,0,94.5,0.11,3.98,0
2024,2,25,3,0,93.56,0.16,3.87,0
2024,2,25,4,0,93.19,0.21,3.76,0
2024,2,25,5,0,93.12,0.26,3.63,0
2024,2,25,6,1.76,91.44,0.31,3.9,0
2024,2,25,7,9.48,86.62,0.57,5.12,0
2024,2,25,8,18.95,81.56,0.57,6.08,0
2024,2,25,9,29.61,78.19,0.48,6.16,0
2024,2,25,10,33.28,77,0.35,6.27,0
2024,2,25,11,35.01,77.75,0.27,6.23,0
2024,2,25,12,35.95,70.88,0.26,7.84,0
2024,2,25,13,34.34,65.75,0.24,9.3,0
2024,2,25,14,26.47,65.12,0.23,9.76,0
2024,2,25,15,25.02,68.31,0.23,9.3,0
2024,2,25,16,14.28,73.25,0.22,8.5,0
2024,2,25,17,3.94,81.88,0.24,7,0
2024,2,25,18,0.28,90.12,0.25,5.54,0
2024,2,25,19,0,92.31,0.26,5.1,0
2024,2,25,20,0,93.75,0.24,4.8,0
2024,2,25,21,0,94.81,0.23,4.57,0
2024,2,25,22,0,96.62,0.21,4.24,0
2024,2,25,23,0,97.25,0.19,3.96,0
2024,2,26,0,0,97.69,0.19,3.72,0
2024,2,26,1,0,97.75,0.18,3.55,0
2024,2,26,2,0,97.81,0.17,3.39,0
2024,2,26,3,0,97.88,0.12,3.26,0
2024,2,26,4,0,98.06,0.08,3.23,0
2024,2,26,5,0,98.19,0.06,3.24,0
2024,2,26,6,1.92,94.81,0.06,4.1,0
2024,2,26,7,11.13,86.5,0.14,6.05,0
2024,2,26,8,22.16,73.25,0.18,8.69,0
2024,2,26,9,33.05,59.94,0.22,11.19,0
2024,2,26,10,43.33,53,0.29,12.9,0
2024,2,26,11,50.89,50.38,0.3,13.81,0
2024,2,26,12,50.58,49.69,0.34,14.09,0
2024,2,26,13,42.28,50,0.35,14.1,0
2024,2,26,14,35.52,51.62,0.37,13.73,0
2024,2,26,15,26.13,56.94,0.37,12.55,0
2024,2,26,16,12.56,65,0.36,10.87,0
2024,2,26,17,4.12,75.88,0.32,8.83,0
2024,2,26,18,0.29,86.62,0.28,7.2,0
2024,2,26,19,0,91.25,0.2,6.63,0
2024,2,26,20,0,93.75,0.16,6.3,0
2024,2,26,21,0,96.19,0.15,5.87,0
2024,2,26,22,0,97.5,0.15,5.5,0
2024,2,26,23,0,97.44,0.16,5.43,0
2024,2,27,0,0,97.88,0.15,5.26,0
2024,2,27,1,0,98.69,0.13,4.94,0
2024,2,27,2,0,99,0.11,4.69,0
2024,2,27,3,0,99.19,0.09,4.49,0
2024,2,27,4,0,99.75,0.09,4.17,0
2024,2,27,5,0,100,0.08,3.84,0
2024,2,27,6,2.3,94.56,0.07,4.8,0
2024,2,27,7,12.67,83,0.06,6.68,0
2024,2,27,8,24.02,67,0.09,9.6,0
2024,2,27,9,33.53,52.31,0.16,12.8,0
2024,2,27,10,38.02,44.81,0.25,15.07,0
2024,2,27,11,48.08,41.31,0.31,16.39,0
2024,2,27,12,50.54,40.81,0.36,16.82,0
2024,2,27,13,43.69,43.62,0.39,16.24,0
2024,2,27,14,34.3,49.94,0.42,14.73,0
2024,2,27,15,23.64,58.88,0.43,12.73,0
2024,2,27,16,14.97,68.12,0.46,10.74,0
2024,2,27,17,4.99,77.94,0.46,8.87,0
2024,2,27,18,0.25,86.75,0.4,7.44,0
2024,2,27,19,0,90.56,0.3,6.98,0
2024,2,27,20,0,92.5,0.36,6.76,0
2024,2,27,21,0,93.56,0.39,6.51,0
2024,2,27,22,0,93.88,0.34,6.37,0
2024,2,27,23,0,94.94,0.2,6.16,0
2024,2,28,0,0,95.69,0.1,5.98,0
2024,2,28,1,0,96.38,0.07,5.55,0
2024,2,28,2,0,96.75,0.05,5.04,0
2024,2,28,3,0,96.56,0.04,4.76,0
2024,2,28,4,0,96.31,0.04,4.6,0
2024,2,28,5,0,96.5,0.05,4.49,0
2024,2,28,6,1.57,93.44,0.07,5.12,0
2024,2,28,7,7.34,82.94,0.21,7.1,0
2024,2,28,8,15.68,68.62,0.34,9.96,0
2024,2,28,9,23.38,56.88,0.53,12.25,0
2024,2,28,10,36.66,51.94,0.88,13.52,0
2024,2,28,11,37.69,51.69,1.02,13.85,0
2024,2,28,12,47.23,54.88,0.85,13.42,0
2024,2,28,13,45.74,59.69,0.6,12.58,0
2024,2,28,14,37.31,65,0.48,11.58,0
2024,2,28,15,28.11,70.88,0.42,10.51,0
2024,2,28,16,16.02,77.44,0.36,9.43,0
2024,2,28,17,6.05,83.94,0.3,8.4,0
2024,2,28,18,0.34,92.25,0.25,6.92,0
2024,2,28,19,0,94.94,0.22,6.22,0
2024,2,28,20,0,96.06,0.15,5.92,0
2024,2,28,21,0,95.62,0.12,5.65,0
2024,2,28,22,0,95.06,0.11,5.19,0
2024,2,28,23,0,94.88,0.11,4.94,0
